Family;Genus;Species;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monioring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Arecaceae;Attalea;Attalea dubia;;55;25;;1;45;20;26;;25;30;Yes;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;x;;;2019;Personal observation;Personal observation
Fabaceae;Eperua;Eperua grandiflora;;;;;;67;60;27,6;0,7;;;Yes;;;;;;French Guiana;Dasyprocta leporina;;;;;;;;;1983;Sabatier (1983);SABATIER, D. (1983). Fructification and diss emination en for^ et Guyanaise. L’exemple de quelques esp eces ligneuses (Doctoral dissertation, PhD Dissertation. Th ese de doctorat de l’Universit e USTL, Montpellier, France).
Sapotaceae;Pouteria;Pouteria sapota;;200;80;;;100;;28,6;0,9;30;;No;15;93;16° 34' N;88° 43' W;floresta úmida de baixa altitude/floresta tropical sazonal de várzea;Belize;Dasyprocta punctata;Other animals;Active search / Visual observation;;x;x;x;;;1999;"Brewer; Rejmánek, 1999";"Brewer, S.W.; Rejmánek, M. 1999. Small rodents as significant dispersers of tree seeds in a Neotropical forest. Journal of Vegetation Science 10(2), pp. 165-174."
Sapotaceae;Pouteria;Pouteria sapota;;200;80;;;100;;28,6;0,9;30;;No;;;19° 05' N;90° 45' W;floresta tropical;Mexico;Dasyprocta punctata;Plant;;;x;x;;;;2016;"Camargo-Sanabria; Mendoza, 2016";"Camargo-Sanabria, A.A.; Mendoza, E. 2016. Interactions between terrestrial mammals and the fruits of two neotropical rainforest tree species. Acta Oecologica 73, pp. 45-52."
Fabaceae;Swartzia;Swartzia flaemingii;;;;;1;67;35;29;;;;;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Fabaceae;Vouacapoua;Vouacapoua americana;;72;40;48,2;;49;34;32,6;0,91;45;75;Yes;7;22,4;4° 02' N;52° 42' W;;French Guian;Dasyprocta leporina;Rodents/Plant;Flagged line;;x;x;x;x;;1990;Forget, 1990;Forget, P.-M. 1990. Seed-dispersal of Vouacapoua americana (Caesalpiniaceae) by caviomorph rodents in french guiana. Journal of Tropical Ecology 6(4), pp. 459-468.
Fabaceae;Eperua;Eperua grandiflora;;;;;;67;60;47,6;0,7;;;Yes;;;5° 18' N;52° 53' W;Amazon;French Guiana;Dasyprocta leporina;;;;x;x;x;x;;1992;Forget, 1992;Forget, P. (1992). Regeneration Ecology of Eperua grandiflora (Caesalpiniaceae), a Large-Seeded Tree in French Guiana. Biotropica, 24(2), 146-156. doi:10.2307/2388668
Arecaceae;Attalea;Attalea humilis;;65;60;;;;;51,4;;0;0;Yes;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Lauraceae;Chlorocardium;Chlorocardium rodiei;;;;;;;;65,5;0,86;;;;;;5° 13' N;58° 48' W;;Guyana;Dasyprocta leporina;;;;;;;;;1999;Hammond et al. (1999);Hammond, D. S., Brown, V. K., & Zagt, R. (1999). Spatial and temporal patterns of seed attack and germination in a large-seeded neotropical tree species. Oecologia, 119(2), 208-218.
Arecaceae;Attalea;Attalea oleifera;Drupe;67;37;36,5;;45;31;;;30;;Yes;5;8;9° 00' S;35° 52' W;Atlantic Forest;Brazil;Dasyprocta prymnolopha;Plant;Active search / Visual observation;6 meses;x;x;x (74,7% das mudas eram de ent.);x;;2004;"Pimentel; Tabarelli, 2004";"Pimentel, D.S.; Tabarelli, M. 2004. Seed dispersal of the palm Attalea oleifera in a remnant of the Brazilian Atlantic Forest. Biotropica 36(1), pp. 74-84."
Lauraceae;Persea;Persea americana;;;;;;;;;0,42;;;;;;10° 18' N;84° 48' W;;Costa Rica;Dasyprocta punctata;Interaction;;;x;x;x;;;2005;Burkard (2005);Burkard, G. P. (2005). Seed predation on Persea americana by Dasyprocta punctata in Monteverde, Costa Rica. Tropical ecology collection.
Staphyleaceae;Turpinia;Turpinia occidentalis;;;;;;21;21;;0,34;15;50;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Exclosure;;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Arecaceae;Attalea;Attalea butyracea;Drupe;60;50;;2;35;25;;;20;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest s;Panama;Dasyprocta punctata;Agouti;;11 meses;x;x;;;;2008;Aliaga-Rossel et al., 2008;"Aliaga-Rossel, E.; Kays, R.W.; Fragoso, J.M.V. 2008. Home-range use by the Central American agouti (Dasyprocta punctata) on Barro Colorado Island, Panama. Journal of Tropical Ecology 24(4), pp. 367-374."
Arecaceae;Attalea;Attalea butyracea;Drupe;60;50;;2;35;25;;;20;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;;;;x;x;;;;1994;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Arecaceae;Attalea;Attalea butyracea;Drupe;60;50;13;2;35;25;;;20;;Yes;;;9° 01' N;79° 37' W;Humid Tropical Forest;Panama;Dasyprocta punctata;;;;;;;;;2011;Galvez Dumas, 2011;Galvez, Dumas 2011 Digestibility of Palm Seeds and Bruchids Larvae by Neotropical Rodents Animal Biology
